n_ocupacao,media_DP,var_DP,DP_DP
0,0.376361240570626,0.00012119043831731308,0.011008652883859727
10,21.713695699281505,0.38940137125846747,0.6240203292028774
20,29.896012821574057,1.0334432691339792,1.0165841180807318
30,35.47301420668689,3.340913286433712,1.8278165352227536
40,39.78241960570415,1.8801427711766938,1.3711829823829838
50,42.94056471884754,2.5701698417548275,1.6031749255009036
60,45.873543729108896,2.478566971763051,1.5743465221364232
70,47.42400616020892,3.3751874126201975,1.8371683136338373
80,48.958081451142284,0.8297241300224993,0.9108919420120585
90,49.704898524408264,0.9281687607327894,0.9634151549216928
100,50.46264455536453,14.605245504142122,3.8216809788550012
