n_ocupacao,media_MAE,var_MAE,DP_MAE
0,30.000646288667603,0.0001414865960718537,0.011894813830903522
10,19.226891244788934,0.09579079181650874,0.3095008753081463
20,24.31490895679938,0.7186591908086876,0.8477376898597158
30,39.75198376552135,0.98474849014678,0.9923449451409424
40,60.06090152634777,1.9008567577551374,1.3787156188841618
50,81.89139161814393,1.4571759326457103,1.2071354243189578
60,104.25258577228226,2.431355022336656,1.5592802898570404
70,126.53325566898167,1.9834029724219728,1.4083334024377796
80,149.04319088956058,2.3118127679999922,1.5204646552945558
90,171.2235800462765,2.286862604838301,1.5122376152041388
100,193.96570932492074,15.981470289664642,3.9976831152136914
