n_ocupacao,media_EME,var_EME,DP_EME
0,0.0002044959961263996,4.1783254217783065e-06,0.0020440952575108396
10,10.063010720253965,0.9875801949097387,0.9937706953365745
20,19.91173935749549,0.29950022529420284,0.5472661375365763
30,29.949689700272323,0.21878292424065443,0.4677423695162268
40,39.994118948277944,0.37225471022278545,0.6101267984794517
50,49.992015617527414,0.3087574644281538,0.5556594860417249
60,60.024876145299324,0.4655601730546468,0.6823197000341166
70,70.00032174117014,0.3765302587757184,0.6136206146925952
80,80.06168348849924,0.4659853774768728,0.6826312163070722
90,89.98838847141629,0.4146834665589242,0.6439592118751964
100,100.15138881597413,3.2687217447436754,1.807960659069681
