n_ocupacao,media_DP,var_DP,DP_DP
0,1.3237162739425306,0.00023112819055233044,0.015202900728227177
10,16.59075811156239,0.5607493078854464,0.7488319623823801
20,22.47408340975743,0.6321231827325858,0.7950617477483027
30,26.83199588406427,0.6692481134988338,0.8180758604792308
40,30.38359879316481,0.33181559045485076,0.576034365689106
50,33.21819146291063,0.2896372696449708,0.5381795886550983
60,35.8090960886022,0.7116467811429608,0.843591596178483
70,37.77744099039142,0.3805296762568512,0.616870874865114
80,39.58678316769211,0.19081096433971037,0.4368191437422476
90,41.078667061481575,0.2982671885713496,0.5461384335233601
100,42.44784984008127,2.5287769684100403,1.5902128688983876
