n_ocupacao,media_DP,var_DP,DP_DP
10,27.390584503822286,10.473195894843268,3.236231743068359
20,40.49755845447498,12.375759313211315,3.517919742292498
30,47.23997076811819,17.807335571923158,4.219873881044688
40,52.47116098395255,7.6244863647806405,2.76124724803496
50,56.743965098427374,19.239146311611233,4.386245126712737
60,60.95544904699128,22.202047762675583,4.71190489745661
70,62.60835774098049,13.538756482287,3.6795049235307458
80,65.21203644969738,7.986037691547945,2.825957836123523
90,66.74767378039365,7.019555683705171,2.649444410382141
100,67.26536376929799,2.560072088617801,1.6000225275344722
