n_ocupacao,media_MAE,var_MAE,DP_MAE
0,1.0557459658490278,0.00023560864094474742,0.015349548558337063
10,13.10356658097395,1.0544594176456532,1.026868744117598
20,22.623842204038272,0.42984451108347993,0.6556252825230887
30,32.38511626319712,0.24804822569966026,0.4980444013335159
40,42.11535716867039,0.3751986163724868,0.6125345838175072
50,51.7831624373733,0.31504715841994074,0.5612906185034102
60,61.507346836042395,0.563520410512758,0.7506799654398391
70,71.18717544436029,0.40026760330324285,0.6326670556487376
80,80.99429909718867,0.44785996159203134,0.6692234018562346
90,90.73070351683135,0.42991436977232844,0.6556785567428055
100,100.72274992355901,3.078145273978294,1.754464383787341
