n_ocupacao,media_DP,var_DP,DP_DP
10,58.300459643264034,7.528135726329697,2.743744836228343
20,66.010703821168,21.58879011323078,4.646373867138844
30,67.96181698694764,7.251737427163266,2.692905016364904
40,68.44190681469382,9.132462931685518,3.021996514174945
50,67.08483233459842,9.792709886068451,3.129330581141668
60,66.19389998283071,15.582535223175551,3.947472004102822
70,65.66721376604671,8.780027038677545,2.9631110405581405
80,66.46749596041808,6.912769375636524,2.62921459292248
90,66.46630313856373,13.889488199256776,3.7268603675556156
100,66.99809995980712,9.369557650468906,3.0609733175035854
